날짜,미세먼지(PM-10),소음(db),습도(%),온도(℃),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-07-04 14,37.23,51.01,55.14,31.81,16.51,보통,보통
2018-07-04 15,37.02,50.91,52.76,32.57,19.18,보통,보통
2018-07-04 16,39.25,50.86,51.21,32.7,22.28,보통,보통
2018-07-04 17,37.64,50.95,53.06,31.77,20.83,보통,보통
2018-07-04 18,42.37,50.81,57.19,30.53,17.02,보통,보통
2018-07-04 19,42.74,50.67,60.36,29.25,17.95,보통,보통
2018-07-04 20,39.14,50.43,61.29,28.38,18.43,보통,보통
2018-07-04 21,34.47,49.95,61.02,27.82,17.8,보통,보통
2018-07-04 22,32.58,49.83,63.21,27.27,17.74,보통,보통
2018-07-04 23,29.13,49.39,65.18,26.55,17.76,좋음,보통
2018-07-05 00,30.84,48.83,67.48,26.01,18.61,좋음,보통
2018-07-05 01,36.38,48.55,70.23,25.49,20.91,보통,보통
2018-07-05 02,38.76,48.21,71.44,25.4,23.69,보통,보통
2018-07-05 03,39.01,48.05,72.62,25.23,25.0,보통,보통
2018-07-05 04,40.37,48.19,74.32,24.92,25.23,보통,보통
2018-07-05 05,42.04,49.02,75.14,24.76,26.42,보통,보통
2018-07-05 06,40.8,49.84,77.9,24.58,25.78,보통,보통
2018-07-05 07,43.55,50.65,84.33,24.01,30.17,보통,보통
2018-07-05 08,44.62,50.51,81.27,24.63,33.07,보통,보통
2018-07-05 09,41.92,50.78,77.08,25.35,26.99,보통,보통
2018-07-05 10,42.16,50.68,70.76,26.87,25.7,보통,보통
2018-07-05 11,41.64,50.77,65.86,28.26,23.22,보통,보통
2018-07-05 12,40.91,50.58,60.45,29.74,22.86,보통,보통
2018-07-05 13,40.53,50.77,64.02,28.93,22.21,보통,보통
2018-07-05 14,36.57,50.95,63.79,28.9,19.69,보통,보통
2018-07-05 15,28.28,50.96,63.1,28.7,16.02,좋음,보통
2018-07-05 16,15.52,50.89,62.92,29.0,10.1,좋음,좋음
2018-07-05 17,18.07,50.88,63.96,28.3,6.68,좋음,좋음
2018-07-05 18,22.22,50.68,62.68,27.97,2.94,좋음,좋음
2018-07-05 19,22.17,50.61,62.47,27.41,3.79,좋음,좋음
2018-07-05 20,23.81,50.33,63.89,26.64,5.51,좋음,좋음
2018-07-05 21,21.91,49.99,61.27,26.12,3.93,좋음,좋음
2018-07-05 22,19.23,49.78,58.94,25.71,4.19,좋음,좋음
2018-07-05 23,17.97,49.41,58.52,25.21,5.82,좋음,좋음
2018-07-06 00,15.56,48.89,57.51,25.03,6.14,좋음,좋음
2018-07-06 01,10.78,48.69,57.7,24.82,5.33,좋음,좋음
2018-07-06 02,5.93,48.31,58.67,24.61,3.35,좋음,좋음
2018-07-06 03,5.95,48.21,59.42,24.47,3.37,좋음,좋음
2018-07-06 04,6.5,48.43,59.36,24.27,3.96,좋음,좋음
2018-07-06 05,7.7,49.04,58.9,24.15,4.39,좋음,좋음
2018-07-06 06,8.59,49.66,59.6,23.87,4.65,좋음,좋음
2018-07-06 07,9.39,50.23,58.95,23.89,4.91,좋음,좋음
2018-07-06 08,11.02,50.67,56.52,24.23,5.35,좋음,좋음
2018-07-06 09,9.83,50.71,55.59,24.57,4.71,좋음,좋음
2018-07-06 10,9.16,51.22,52.72,25.46,4.43,좋음,좋음
2018-07-06 11,9.45,50.86,50.51,26.37,4.72,좋음,좋음
2018-07-06 12,10.32,50.52,49.22,26.98,2.93,좋음,좋음
2018-07-06 13,15.46,50.72,48.85,27.31,2.58,좋음,좋음
2018-07-06 14,13.51,50.93,46.95,28.06,3.35,좋음,좋음
2018-07-06 15,13.41,51.16,47.89,27.83,3.98,좋음,좋음
2018-07-06 16,13.91,51.12,47.36,27.94,4.11,좋음,좋음
2018-07-06 17,14.53,50.91,47.98,27.1,3.02,좋음,좋음
2018-07-06 18,13.04,50.8,48.84,26.28,2.5,좋음,좋음
2018-07-06 19,11.69,50.72,49.26,25.5,4.07,좋음,좋음
2018-07-06 20,15.26,50.4,48.9,24.81,7.24,좋음,좋음
2018-07-06 21,11.6,50.25,49.2,24.17,5.0,좋음,좋음
2018-07-06 22,11.05,50.24,50.15,23.65,2.42,좋음,좋음
2018-07-06 23,13.41,49.75,51.99,22.98,2.06,좋음,좋음
2018-07-07 00,11.79,49.33,53.16,22.42,3.66,좋음,좋음
2018-07-07 01,9.82,48.95,54.33,22.05,4.76,좋음,좋음
2018-07-07 02,10.84,48.69,55.61,21.66,3.54,좋음,좋음
2018-07-07 03,11.12,48.48,56.16,21.38,2.61,좋음,좋음
2018-07-07 04,11.24,48.58,56.41,21.17,2.42,좋음,좋음
2018-07-07 05,9.61,49.19,57.17,20.91,2.09,좋음,좋음
2018-07-07 06,9.41,49.47,57.09,20.95,2.41,좋음,좋음
2018-07-07 07,11.02,49.85,54.18,21.88,2.53,좋음,좋음
2018-07-07 08,13.27,50.22,49.88,23.1,4.74,좋음,좋음
2018-07-07 09,12.78,50.48,47.27,24.27,7.65,좋음,좋음
2018-07-07 10,13.41,50.61,45.19,25.59,8.79,좋음,좋음
2018-07-07 11,14.84,50.57,43.07,26.91,4.92,좋음,좋음
2018-07-07 12,16.02,50.54,41.17,28.1,2.19,좋음,좋음
2018-07-07 13,16.61,50.43,39.82,28.83,2.05,좋음,좋음
2018-07-07 14,14.6,50.41,40.01,29.32,4.75,좋음,좋음
2018-07-07 15,14.26,50.31,40.91,29.41,7.64,좋음,좋음
2018-07-07 16,18.37,50.41,41.81,29.15,5.29,좋음,좋음
2018-07-07 17,22.29,50.58,43.66,28.39,3.36,좋음,좋음
2018-07-07 18,24.39,50.51,45.55,27.37,6.58,좋음,좋음
2018-07-07 19,28.05,50.33,46.05,26.17,12.33,좋음,좋음
2018-07-07 20,27.39,50.22,46.46,25.07,14.19,좋음,좋음
2018-07-07 21,29.99,49.98,46.92,24.22,11.25,좋음,좋음
2018-07-07 22,27.82,49.87,46.7,23.31,13.34,좋음,좋음
2018-07-07 23,27.67,49.6,45.56,22.46,13.08,좋음,좋음
2018-07-08 00,25.9,49.34,45.49,21.84,11.95,좋음,좋음
2018-07-08 01,25.72,49.03,46.48,21.22,10.15,좋음,좋음
2018-07-08 02,25.82,48.69,48.44,20.61,7.68,좋음,좋음
2018-07-08 03,21.65,48.58,50.84,20.03,9.38,좋음,좋음
2018-07-08 04,18.81,48.65,52.56,19.56,10.94,좋음,좋음
2018-07-08 05,19.39,49.09,52.73,19.39,12.05,좋음,좋음
2018-07-08 06,20.81,49.18,52.97,19.45,9.62,좋음,좋음
2018-07-08 07,24.94,49.27,49.31,20.49,8.86,좋음,좋음
2018-07-08 08,24.9,49.67,46.73,21.52,10.81,좋음,좋음
2018-07-08 09,23.85,49.91,44.04,22.88,12.18,좋음,좋음
2018-07-08 10,26.92,50.08,43.44,23.89,10.41,좋음,좋음
2018-07-08 11,28.63,49.91,42.79,25.1,9.88,좋음,좋음
2018-07-08 12,28.97,50.04,40.74,26.54,11.72,좋음,좋음
2018-07-08 13,28.47,49.99,38.99,27.78,11.15,좋음,좋음
2018-07-08 14,29.89,49.87,37.8,28.4,12.61,좋음,좋음
2018-07-08 15,28.38,49.99,39.41,28.69,13.27,좋음,좋음
2018-07-08 16,28.29,50.37,42.08,28.42,13.33,좋음,좋음
2018-07-08 17,28.64,50.42,44.9,27.95,14.46,좋음,좋음
2018-07-08 18,30.26,50.24,47.42,27.56,14.86,좋음,좋음
2018-07-08 19,31.8,49.97,50.02,26.98,14.74,보통,좋음
2018-07-08 20,29.29,49.54,52.26,26.35,11.21,좋음,좋음
2018-07-08 21,29.07,49.42,54.93,25.9,9.59,좋음,좋음
2018-07-08 22,28.59,49.22,55.91,25.68,9.51,좋음,좋음
2018-07-08 23,29.28,48.76,58.27,25.19,11.25,좋음,좋음
2018-07-09 00,29.52,48.56,58.1,24.58,12.76,좋음,좋음
2018-07-09 01,28.15,48.42,57.77,23.84,13.84,좋음,좋음
2018-07-09 02,24.19,48.27,57.67,23.31,14.35,좋음,좋음
2018-07-09 03,24.45,48.13,58.08,22.97,11.29,좋음,좋음
2018-07-09 04,19.96,48.42,58.39,22.66,13.37,좋음,좋음
2018-07-09 05,19.46,49.12,58.48,22.54,13.52,좋음,좋음
2018-07-09 06,18.74,49.71,59.91,22.4,7.11,좋음,좋음
2018-07-09 07,17.5,50.35,64.39,22.08,4.13,좋음,좋음
2018-07-09 08,16.89,50.62,67.96,22.0,3.48,좋음,좋음
2018-07-09 09,17.67,50.75,66.01,22.56,7.15,좋음,좋음
2018-07-09 10,19.83,51.41,73.65,22.02,11.73,좋음,좋음
2018-07-09 11,19.11,51.07,80.51,21.13,9.17,좋음,좋음
2018-07-09 12,15.73,51.24,82.87,20.98,5.78,좋음,좋음
2018-07-09 13,16.24,51.64,83.97,20.94,5.56,좋음,좋음
2018-07-09 14,15.87,51.32,84.99,20.83,5.81,좋음,좋음
2018-07-09 15,15.58,51.71,84.64,21.04,5.61,좋음,좋음
2018-07-09 16,14.51,51.88,84.01,21.29,5.49,좋음,좋음
2018-07-09 17,15.37,51.59,84.07,21.39,7.14,좋음,좋음
2018-07-09 18,13.84,51.31,83.86,21.42,6.04,좋음,좋음
2018-07-09 19,12.96,51.27,84.84,21.37,3.07,좋음,좋음
2018-07-09 20,13.81,51.07,86.03,21.27,2.94,좋음,좋음
2018-07-09 21,13.93,50.73,86.59,21.26,6.16,좋음,좋음
2018-07-09 22,13.1,51.17,87.0,21.3,8.81,좋음,좋음
2018-07-09 23,13.22,51.65,88.42,21.18,5.08,좋음,좋음
2018-07-10 00,16.6,53.88,90.59,21.06,2.65,좋음,좋음
2018-07-10 01,13.07,52.2,91.33,21.04,4.27,좋음,좋음
2018-07-10 02,9.68,49.65,90.98,21.11,5.41,좋음,좋음
2018-07-10 03,11.05,48.73,90.87,21.18,5.77,좋음,좋음
2018-07-10 04,12.37,48.6,90.29,21.33,6.81,좋음,좋음
2018-07-10 05,13.98,49.23,89.18,21.5,5.5,좋음,좋음
2018-07-10 06,16.44,49.7,87.74,21.83,3.54,좋음,좋음
2018-07-10 07,19.02,50.34,86.32,22.26,2.81,좋음,좋음
2018-07-10 08,22.75,50.67,84.53,22.85,5.92,좋음,좋음
2018-07-10 09,25.92,50.86,81.82,23.39,8.74,좋음,좋음
2018-07-10 10,27.42,50.65,80.45,23.84,7.97,좋음,좋음
2018-07-10 11,27.94,50.66,77.92,24.55,8.49,좋음,좋음
2018-07-10 12,31.47,50.69,74.36,25.55,10.74,보통,좋음
2018-07-10 13,35.22,50.8,72.59,26.23,9.9,보통,좋음
2018-07-10 14,38.36,50.95,72.56,26.67,12.16,보통,좋음
2018-07-10 15,40.81,51.09,72.94,26.95,17.32,보통,보통
2018-07-10 16,44.31,51.09,73.38,27.2,22.55,보통,보통
2018-07-10 17,44.66,51.07,74.65,27.15,28.03,보통,보통
2018-07-10 18,44.97,50.74,77.9,26.73,22.86,보통,보통
2018-07-10 19,44.0,50.49,82.27,26.09,22.41,보통,보통
2018-07-10 20,43.78,50.33,85.77,25.51,25.71,보통,보통
2018-07-10 21,45.32,50.12,86.09,25.48,27.94,보통,보통
2018-07-10 22,45.89,49.85,86.45,25.41,27.34,보통,보통
2018-07-10 23,45.46,50.9,88.79,25.11,26.62,보통,보통
2018-07-11 00,43.37,49.64,90.44,24.87,26.48,보통,보통
2018-07-11 01,42.98,48.99,90.67,24.87,26.17,보통,보통
2018-07-11 02,42.48,48.6,90.77,24.88,23.76,보통,보통
2018-07-11 03,41.65,49.09,91.04,24.89,27.82,보통,보통
2018-07-11 04,42.29,48.58,91.11,24.9,29.22,보통,보통
2018-07-11 05,42.3,49.87,91.06,24.95,24.93,보통,보통
2018-07-11 06,38.73,51.01,91.35,25.01,21.91,보통,보통
2018-07-11 07,39.31,50.65,90.96,25.21,21.69,보통,보통
2018-07-11 08,40.24,51.04,89.41,25.66,23.99,보통,보통
2018-07-11 09,44.0,51.06,87.25,26.3,26.36,보통,보통
2018-07-11 10,46.94,50.73,84.37,27.14,28.38,보통,보통
2018-07-11 11,50.66,50.63,80.33,28.16,32.41,보통,보통
2018-07-11 12,54.58,50.62,79.05,28.56,32.6,보통,보통
2018-07-11 13,53.72,50.78,76.48,29.01,33.62,보통,보통
2018-07-11 14,53.83,50.91,67.21,30.11,32.33,보통,보통
2018-07-11 15,52.49,51.02,66.11,30.05,28.92,보통,보통
2018-07-11 16,51.5,50.9,67.01,29.67,29.83,보통,보통
2018-07-11 17,50.22,51.08,67.88,29.51,29.92,보통,보통
2018-07-11 18,49.16,50.75,70.54,29.02,29.87,보통,보통
2018-07-11 19,47.09,50.73,70.97,28.82,27.12,보통,보통
2018-07-11 20,46.02,50.3,73.01,28.46,25.07,보통,보통
2018-07-11 21,48.62,50.01,74.96,28.14,22.59,보통,보통
2018-07-11 22,52.01,49.84,76.58,27.84,22.68,보통,보통
2018-07-11 23,51.33,49.35,78.08,27.55,26.91,보통,보통
2018-07-12 00,47.82,48.92,80.26,27.19,26.3,보통,보통
2018-07-12 01,46.54,48.58,81.26,27.0,23.63,보통,보통
2018-07-12 02,49.58,48.24,82.21,26.82,22.15,보통,보통
2018-07-12 03,48.94,48.16,83.21,26.64,21.39,보통,보통
2018-07-12 04,48.91,48.34,84.68,26.39,22.05,보통,보통
2018-07-12 05,47.83,49.07,86.19,26.19,19.19,보통,보통
2018-07-12 06,46.61,49.67,86.87,26.28,20.62,보통,보통
2018-07-12 07,50.82,50.23,81.98,27.18,24.39,보통,보통
2018-07-12 08,53.34,50.54,76.56,27.98,30.56,보통,보통
2018-07-12 09,52.87,50.84,74.9,28.32,30.34,보통,보통
2018-07-12 10,48.8,50.71,71.98,28.82,30.27,보통,보통
2018-07-12 11,50.89,50.65,71.51,29.13,34.65,보통,보통
2018-07-12 12,44.99,50.75,69.17,29.53,28.5,보통,보통
2018-07-12 13,37.63,50.88,67.74,29.64,21.78,보통,보통
2018-07-12 14,34.52,50.83,67.89,29.48,18.79,보통,보통
2018-07-12 15,31.36,51.1,68.65,29.35,19.23,보통,보통
2018-07-12 16,30.62,51.14,67.19,29.47,18.89,좋음,보통
2018-07-12 17,31.97,51.14,68.68,29.05,19.88,보통,보통
2018-07-12 18,30.69,50.74,69.31,28.81,17.85,좋음,보통
2018-07-12 19,26.36,50.78,70.56,28.44,13.27,좋음,좋음
2018-07-12 20,24.9,50.42,72.89,27.95,11.6,좋음,좋음
2018-07-12 21,33.5,50.23,76.11,27.32,20.11,보통,보통
2018-07-12 22,35.6,50.23,78.33,26.8,14.98,보통,좋음
2018-07-12 23,36.18,49.57,80.46,26.3,14.78,보통,좋음
2018-07-13 00,37.43,48.99,82.32,25.85,17.01,보통,보통
2018-07-13 01,37.25,48.73,83.47,25.63,14.06,보통,좋음
2018-07-13 02,34.26,48.31,81.19,26.11,12.29,보통,좋음
2018-07-13 03,30.64,48.25,79.63,26.08,11.68,좋음,좋음
2018-07-13 04,29.18,48.37,78.85,26.13,15.7,좋음,좋음
2018-07-13 05,27.14,48.99,76.91,26.25,16.94,좋음,보통
2018-07-13 06,30.67,49.58,76.76,26.43,19.0,좋음,보통
2018-07-13 07,30.87,50.16,75.59,26.85,19.43,좋음,보통
2018-07-13 08,32.66,50.62,72.56,27.63,19.29,보통,보통
2018-07-13 09,35.86,50.69,67.94,28.68,20.46,보통,보통
2018-07-13 10,35.99,51.29,64.63,29.44,22.61,보통,보통
2018-07-13 11,34.57,50.75,63.0,29.88,18.99,보통,보통
2018-07-13 12,30.16,50.68,61.1,30.48,18.19,좋음,보통
2018-07-13 13,28.09,50.83,59.59,31.01,15.8,좋음,좋음
2018-07-13 14,27.57,50.98,57.35,31.55,14.58,좋음,좋음
2018-07-13 15,27.53,51.17,55.38,32.0,14.65,좋음,좋음
2018-07-13 16,29.09,51.28,56.71,31.92,16.36,좋음,보통
2018-07-13 17,32.21,51.18,57.56,31.44,17.5,보통,보통
2018-07-13 18,26.78,50.93,59.67,30.6,13.66,좋음,좋음
2018-07-13 19,24.49,50.97,62.67,29.71,13.66,좋음,좋음
2018-07-13 20,31.6,50.76,66.36,28.99,16.9,보통,보통
2018-07-13 21,35.53,50.51,69.73,28.34,19.3,보통,보통
2018-07-13 22,36.43,50.26,72.52,27.7,19.48,보통,보통
2018-07-13 23,39.46,49.8,75.15,27.28,20.02,보통,보통
2018-07-14 00,37.27,49.26,77.65,26.77,19.57,보통,보통
2018-07-14 01,37.47,48.81,79.42,26.39,17.36,보통,보통
2018-07-14 02,37.86,48.51,80.51,26.1,18.36,보통,보통
2018-07-14 03,36.51,48.34,79.37,26.11,17.13,보통,보통
2018-07-14 04,33.77,48.45,77.22,26.42,15.28,보통,좋음
2018-07-14 05,31.31,48.85,77.71,26.29,13.44,보통,좋음
2018-07-14 06,34.9,49.42,75.24,26.58,15.0,보통,좋음
2018-07-14 07,30.86,49.63,71.72,27.31,16.84,좋음,보통
2018-07-14 08,31.99,50.05,67.58,28.24,18.0,보통,보통
2018-07-14 09,28.86,50.45,63.1,29.2,16.62,좋음,보통
2018-07-14 10,28.86,50.73,59.69,29.97,16.98,좋음,보통
2018-07-14 11,27.98,50.83,56.04,31.05,14.13,좋음,좋음
2018-07-14 12,30.86,50.55,51.73,32.17,14.71,좋음,좋음
2018-07-14 13,33.07,50.53,49.31,33.0,18.79,보통,보통
2018-07-14 14,34.05,50.7,48.6,33.45,17.64,보통,보통
2018-07-14 15,35.42,50.55,48.45,33.56,20.17,보통,보통
2018-07-14 16,36.55,50.55,49.94,33.19,20.91,보통,보통
2018-07-14 17,32.87,50.57,50.18,32.49,20.57,보통,보통
2018-07-14 18,31.44,50.71,51.11,31.88,16.9,보통,보통
2018-07-14 19,27.43,50.6,53.81,31.09,8.55,좋음,좋음
2018-07-14 20,29.19,50.45,57.82,30.3,10.46,좋음,좋음
2018-07-14 21,30.16,50.25,61.71,29.45,14.82,좋음,좋음
2018-07-14 22,31.36,50.02,64.64,28.75,17.44,보통,보통
2018-07-14 23,33.49,49.67,68.98,28.03,16.57,보통,보통
2018-07-15 00,32.94,49.24,71.71,27.32,16.88,보통,보통
2018-07-15 01,31.33,49.03,72.37,26.94,16.15,보통,보통
2018-07-15 02,31.88,48.62,74.92,26.36,17.53,보통,보통
2018-07-15 03,30.76,48.41,77.13,25.88,17.13,좋음,보통
2018-07-15 04,30.37,48.39,78.59,25.59,16.22,좋음,보통
2018-07-15 05,30.02,48.71,78.17,25.71,14.07,좋음,좋음
2018-07-15 06,31.63,48.91,78.11,25.9,15.03,보통,좋음
2018-07-15 07,33.9,49.15,75.12,26.73,18.61,보통,보통
2018-07-15 08,37.37,49.5,69.54,28.21,18.93,보통,보통
2018-07-15 09,36.25,49.75,66.1,29.01,19.1,보통,보통
2018-07-15 10,35.29,50.04,60.27,30.49,20.36,보통,보통
2018-07-15 11,33.29,50.18,53.87,31.9,22.44,보통,보통
2018-07-15 12,30.85,50.01,47.38,33.25,19.42,좋음,보통
2018-07-15 13,29.98,50.18,43.77,34.28,17.52,좋음,보통
2018-07-15 14,32.21,50.17,42.75,34.79,18.88,보통,보통
2018-07-15 15,33.05,50.33,44.06,34.68,18.98,보통,보통
2018-07-15 16,37.71,50.56,45.89,34.42,20.75,보통,보통
2018-07-15 17,40.14,50.62,49.77,33.45,24.04,보통,보통
2018-07-15 18,36.97,50.62,55.79,32.28,25.78,보통,보통
2018-07-15 19,31.13,50.32,61.73,30.96,20.75,보통,보통
2018-07-15 20,30.93,50.15,65.44,29.96,18.18,좋음,보통
2018-07-15 21,29.39,50.08,66.77,29.46,16.83,좋음,보통
2018-07-15 22,28.27,49.85,68.45,28.88,18.56,좋음,보통
2018-07-15 23,30.83,49.36,70.89,28.27,20.16,좋음,보통
2018-07-16 00,29.22,48.82,73.01,27.66,17.2,좋음,보통
2018-07-16 01,28.79,48.27,74.67,27.11,19.77,좋음,보통
2018-07-16 02,26.85,47.97,76.46,26.55,16.01,좋음,보통
2018-07-16 03,26.54,47.94,77.35,26.1,17.68,좋음,보통
2018-07-16 04,26.4,48.19,78.35,25.72,10.97,좋음,좋음
2018-07-16 05,26.46,48.96,78.86,25.48,16.68,좋음,보통
2018-07-16 06,28.34,49.55,77.02,25.94,13.7,좋음,좋음
2018-07-16 07,29.65,50.19,71.87,27.5,15.82,좋음,좋음
2018-07-16 08,33.87,50.51,65.74,29.24,19.44,보통,보통
2018-07-16 09,33.91,50.86,55.79,31.23,18.65,보통,보통
2018-07-16 10,36.3,50.94,49.19,32.77,19.67,보통,보통
2018-07-16 11,31.0,50.84,44.24,33.95,17.32,보통,보통
2018-07-16 12,32.35,50.74,43.39,34.23,16.27,보통,보통
2018-07-16 13,35.8,50.89,43.47,34.55,18.27,보통,보통
2018-07-16 14,39.08,50.99,41.79,34.7,23.52,보통,보통
2018-07-16 15,53.97,51.05,38.98,35.11,35.87,보통,보통
2018-07-16 16,44.43,51.03,41.11,34.52,30.39,보통,보통
2018-07-16 17,39.42,50.9,42.91,33.7,22.81,보통,보통
2018-07-16 18,37.4,50.68,45.23,32.86,25.15,보통,보통
2018-07-16 19,37.6,50.64,51.45,31.68,26.31,보통,보통
2018-07-16 20,34.27,50.47,56.5,30.42,22.47,보통,보통
2018-07-16 21,29.86,50.11,59.58,29.6,18.42,좋음,보통
2018-07-16 22,28.76,50.07,62.5,28.89,16.87,좋음,보통
2018-07-16 23,25.96,49.5,64.72,28.21,16.23,좋음,보통
2018-07-17 00,25.25,48.99,65.45,27.52,12.96,좋음,좋음
2018-07-17 01,25.51,48.47,67.19,26.89,14.99,좋음,좋음
2018-07-17 02,24.73,48.19,68.68,26.45,13.08,좋음,좋음
2018-07-17 03,24.9,48.14,70.45,25.98,10.91,좋음,좋음
2018-07-17 04,24.92,48.34,72.26,25.55,12.68,좋음,좋음
2018-07-17 05,25.33,49.16,74.06,25.25,17.07,좋음,보통
2018-07-17 06,27.82,49.62,73.25,25.61,19.78,좋음,보통
2018-07-17 07,29.75,50.04,67.67,27.19,17.93,좋음,보통
2018-07-17 08,35.68,50.48,62.31,28.9,21.75,보통,보통
2018-07-17 09,38.76,50.91,56.7,30.2,19.89,보통,보통
2018-07-17 10,37.7,51.0,50.12,31.57,20.31,보통,보통
2018-07-17 11,38.26,50.83,48.89,32.23,26.9,보통,보통
2018-07-17 12,40.96,50.82,48.12,32.49,29.33,보통,보통
2018-07-17 13,46.12,51.11,45.62,33.14,30.65,보통,보통
2018-07-17 14,48.55,51.32,46.23,33.21,33.27,보통,보통
2018-07-17 15,47.78,51.31,49.6,32.86,36.28,보통,나쁨
2018-07-17 16,51.0,51.31,50.63,32.73,37.4,보통,나쁨
2018-07-17 17,46.49,51.35,52.28,32.19,34.97,보통,보통
2018-07-17 18,32.48,50.93,54.64,31.35,24.47,보통,보통
2018-07-17 19,22.76,50.83,55.97,30.71,13.66,좋음,좋음
2018-07-17 20,32.64,50.6,58.72,29.93,20.32,보통,보통
2018-07-17 21,33.24,50.3,60.74,29.26,21.61,보통,보통
2018-07-17 22,30.92,50.16,64.29,28.56,21.99,좋음,보통
2018-07-17 23,31.98,49.62,67.59,27.9,22.58,보통,보통
2018-07-18 00,32.09,49.25,70.02,27.2,23.5,보통,보통
2018-07-18 01,31.47,48.72,72.47,26.56,22.68,보통,보통
2018-07-18 02,29.71,48.33,74.89,25.95,20.7,좋음,보통
2018-07-18 03,30.52,48.34,76.58,25.5,18.09,좋음,보통
2018-07-18 04,30.79,48.45,77.65,25.2,19.6,좋음,보통
2018-07-18 05,29.91,49.25,78.85,24.87,22.03,좋음,보통
2018-07-18 06,32.38,49.73,77.48,25.26,24.23,보통,보통
2018-07-18 07,35.57,50.19,72.94,26.57,23.91,보통,보통
2018-07-18 08,39.31,50.6,66.38,28.45,29.32,보통,보통
2018-07-18 09,39.01,51.26,58.23,30.2,28.72,보통,보통
2018-07-18 10,43.2,51.44,53.16,31.42,29.65,보통,보통
2018-07-18 11,41.33,51.05,47.87,32.5,30.25,보통,보통
2018-07-18 12,46.19,50.83,39.76,34.0,28.75,보통,보통
2018-07-18 13,51.9,50.96,40.43,34.54,31.94,보통,보통
2018-07-18 14,66.76,51.16,43.75,34.32,42.47,보통,나쁨
2018-07-18 15,62.57,51.27,42.92,34.38,42.61,보통,나쁨
2018-07-18 16,71.41,51.12,40.85,34.3,52.55,보통,나쁨
2018-07-18 17,60.95,51.1,40.03,33.65,44.58,보통,나쁨
2018-07-18 18,44.3,50.63,48.19,32.41,28.27,보통,보통
2018-07-18 19,37.87,50.79,57.29,30.76,25.21,보통,보통
2018-07-18 20,32.74,50.44,59.39,29.91,20.98,보통,보통
2018-07-18 21,24.82,50.08,61.81,29.29,17.3,좋음,보통
2018-07-18 22,34.37,50.1,65.39,28.49,24.21,보통,보통
2018-07-18 23,34.0,49.57,67.62,27.84,22.7,보통,보통
2018-07-19 00,31.27,48.96,69.74,27.14,22.55,보통,보통
2018-07-19 01,30.35,48.52,71.24,26.53,21.27,좋음,보통
2018-07-19 02,28.15,48.27,72.9,25.94,15.52,좋음,좋음
2018-07-19 03,26.6,48.22,75.44,25.37,19.96,좋음,보통
2018-07-19 04,30.17,48.45,77.59,24.95,25.73,좋음,보통
2018-07-19 05,35.54,49.22,79.72,24.56,26.95,보통,보통
2018-07-19 06,43.18,49.66,78.74,25.0,34.37,보통,보통
2018-07-19 07,49.17,50.16,73.54,26.41,38.64,보통,나쁨
2018-07-19 08,52.96,50.78,66.7,28.25,39.98,보통,나쁨
2018-07-19 09,41.58,51.32,55.13,30.28,26.36,보통,보통
2018-07-19 10,36.19,51.41,48.09,31.96,21.21,보통,보통
2018-07-19 11,50.09,51.14,45.0,33.18,31.43,보통,보통
2018-07-19 12,47.51,51.09,42.92,34.02,30.5,보통,보통
2018-07-19 13,41.56,51.24,41.73,34.65,21.56,보통,보통
2018-07-19 14,39.33,51.41,40.97,35.17,19.41,보통,보통
2018-07-19 15,38.76,51.36,39.93,35.32,23.75,보통,보통
2018-07-19 16,39.4,51.17,39.82,35.03,23.67,보통,보통
2018-07-19 17,36.04,51.07,42.28,34.28,19.05,보통,보통
2018-07-19 18,37.55,50.78,45.83,33.21,14.35,보통,좋음
2018-07-19 19,36.7,50.98,50.21,31.85,15.76,보통,좋음
2018-07-19 20,32.59,50.43,52.62,30.93,15.0,보통,좋음
2018-07-19 21,30.3,50.27,56.71,30.31,14.32,좋음,좋음
2018-07-19 22,25.44,49.99,59.77,29.57,15.01,좋음,좋음
2018-07-19 23,23.96,49.68,63.97,28.78,14.18,좋음,좋음
2018-07-20 00,32.31,49.06,68.55,28.01,18.81,보통,보통
2018-07-20 01,31.54,48.47,71.49,27.37,17.62,보통,보통
2018-07-20 02,29.2,48.27,73.84,26.81,14.11,좋음,좋음
2018-07-20 03,30.89,48.16,75.23,26.42,13.8,좋음,좋음
2018-07-20 04,29.38,48.42,77.28,26.07,17.4,좋음,보통
2018-07-20 05,28.5,49.28,77.29,26.03,20.88,좋음,보통
2018-07-20 06,33.82,49.65,76.18,26.45,18.36,보통,보통
2018-07-20 07,38.32,50.28,70.97,27.85,20.87,보통,보통
2018-07-20 08,45.9,50.99,65.32,29.63,25.65,보통,보통
2018-07-20 09,51.27,51.57,59.83,31.0,29.73,보통,보통
2018-07-20 10,55.28,52.24,54.4,32.37,34.5,보통,보통
2018-07-20 11,57.16,51.71,46.38,33.83,34.28,보통,보통
2018-07-20 12,56.41,51.4,44.74,34.46,37.38,보통,나쁨
2018-07-20 13,61.99,51.59,42.4,35.27,38.96,보통,나쁨
2018-07-20 14,68.69,51.38,42.75,35.63,45.3,보통,나쁨
2018-07-20 15,71.52,51.56,42.89,35.63,48.09,보통,나쁨
2018-07-20 16,74.73,51.4,41.49,35.39,50.26,보통,나쁨
