날짜,미세먼지(PM-10),소음(db),온도(℃),습도(%),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-07-17 09,33.44,54.65,29.82,54.67,23.23,보통,보통
2018-07-17 10,33.85,54.58,30.94,50.97,24.03,보통,보통
2018-07-17 11,37.63,54.84,31.44,52.25,26.01,보통,보통
2018-07-17 12,40.15,54.76,31.97,51.69,27.47,보통,보통
2018-07-17 13,41.92,54.68,32.57,49.1,29.22,보통,보통
2018-07-17 14,44.07,55.0,33.06,45.46,31.76,보통,보통
2018-07-17 15,35.21,55.08,32.77,47.12,28.19,보통,보통
2018-07-17 16,33.23,54.53,32.64,47.12,27.87,보통,보통
2018-07-17 17,34.21,54.48,32.21,48.8,28.41,보통,보통
2018-07-17 18,29.58,54.38,31.66,50.84,22.84,좋음,보통
2018-07-17 19,21.12,54.52,30.7,54.58,13.68,좋음,좋음
2018-07-17 20,27.47,54.42,29.69,58.07,20.43,좋음,보통
2018-07-17 21,27.49,53.94,28.98,62.19,21.01,좋음,보통
2018-07-17 22,28.22,53.68,28.23,66.1,20.48,좋음,보통
2018-07-17 23,29.41,53.21,27.71,69.21,23.63,좋음,보통
2018-07-18 00,29.02,52.22,27.08,71.8,24.37,좋음,보통
2018-07-18 01,29.07,51.63,26.63,73.28,22.72,좋음,보통
2018-07-18 02,29.08,50.95,26.05,74.28,22.41,좋음,보통
2018-07-18 03,27.87,50.64,25.63,74.44,24.16,좋음,보통
2018-07-18 04,27.99,51.05,25.35,75.54,24.37,좋음,보통
2018-07-18 05,26.68,52.65,25.22,76.3,22.11,좋음,보통
2018-07-18 06,28.34,53.68,25.64,75.24,22.19,좋음,보통
2018-07-18 07,32.42,54.2,27.38,69.5,26.98,보통,보통
2018-07-18 08,35.83,54.95,28.95,63.13,30.12,보통,보통
2018-07-18 09,37.26,54.66,30.15,57.57,27.73,보통,보통
2018-07-18 10,37.89,54.65,31.07,52.9,27.41,보통,보통
2018-07-18 11,36.96,54.68,32.12,48.7,29.15,보통,보통
2018-07-18 12,42.74,54.72,33.28,44.85,34.7,보통,보통
2018-07-18 13,55.56,54.66,33.52,45.6,40.65,보통,나쁨
2018-07-18 14,49.45,54.47,33.99,43.93,35.61,보통,보통
2018-07-18 15,56.97,54.55,34.02,41.4,42.22,보통,나쁨
2018-07-18 16,62.67,54.44,33.89,40.63,46.72,보통,나쁨
2018-07-18 17,48.02,54.37,33.26,44.34,37.53,보통,나쁨
2018-07-18 18,37.31,54.24,32.18,47.98,29.46,보통,보통
2018-07-18 19,35.46,54.18,30.69,54.87,27.13,보통,보통
2018-07-18 20,32.7,53.99,29.51,61.37,25.2,보통,보통
2018-07-18 21,29.93,53.88,28.84,63.46,21.96,좋음,보통
2018-07-18 22,28.95,53.81,28.19,65.06,21.78,좋음,보통
2018-07-18 23,28.92,53.18,27.68,66.09,21.87,좋음,보통
2018-07-19 00,25.59,52.16,26.97,68.07,19.98,좋음,보통
2018-07-19 01,25.83,51.54,26.39,70.11,21.87,좋음,보통
2018-07-19 02,25.48,50.96,25.72,75.39,21.13,좋음,보통
2018-07-19 03,26.18,50.59,25.3,76.96,20.64,좋음,보통
2018-07-19 04,29.79,51.01,24.89,76.17,22.11,좋음,보통
2018-07-19 05,29.66,52.49,24.76,75.5,23.04,좋음,보통
2018-07-19 06,29.1,53.7,25.3,74.22,23.25,좋음,보통
2018-07-19 07,31.96,54.1,27.14,68.72,27.02,보통,보통
2018-07-19 08,35.08,54.47,29.01,60.2,28.58,보통,보통
2018-07-19 09,33.17,54.52,30.38,54.36,23.67,보통,보통
2018-07-19 10,27.43,54.62,31.68,47.17,17.85,좋음,보통
2018-07-19 11,37.05,54.77,32.6,43.35,27.5,보통,보통
2018-07-19 12,36.13,54.74,33.23,43.32,24.54,보통,보통
2018-07-19 13,35.47,54.57,33.61,45.25,18.68,보통,보통
2018-07-19 14,35.74,54.64,34.28,41.59,19.99,보통,보통
2018-07-19 15,37.67,54.93,34.62,39.67,25.27,보통,보통
2018-07-19 16,34.28,54.93,34.65,40.08,24.2,보통,보통
2018-07-19 17,32.22,54.67,34.11,44.25,23.12,보통,보통
2018-07-19 18,33.32,54.41,33.09,49.09,24.73,보통,보통
2018-07-19 19,32.44,54.34,31.63,51.62,22.55,보통,보통
2018-07-19 20,31.18,54.02,30.44,56.64,21.03,보통,보통
2018-07-19 21,30.25,53.86,29.65,63.93,19.6,좋음,보통
2018-07-19 22,25.59,53.62,28.81,69.13,16.18,좋음,보통
2018-07-19 23,26.94,53.11,28.16,70.89,17.52,좋음,보통
2018-07-20 00,24.88,52.28,27.57,72.09,16.41,좋음,보통
2018-07-20 01,24.01,51.69,27.14,72.79,17.5,좋음,보통
2018-07-20 02,24.22,51.05,26.82,73.56,18.06,좋음,보통
2018-07-20 03,24.2,50.69,26.58,74.61,18.44,좋음,보통
2018-07-20 04,24.57,51.04,26.29,76.18,18.7,좋음,보통
2018-07-20 05,26.23,52.46,26.22,76.7,18.36,좋음,보통
2018-07-20 06,28.44,53.66,26.77,75.39,19.61,좋음,보통
2018-07-20 07,33.01,54.08,28.23,70.5,25.34,보통,보통
2018-07-20 08,36.83,54.52,29.38,66.13,27.04,보통,보통
2018-07-20 09,43.17,54.54,30.48,60.69,29.33,보통,보통
2018-07-20 10,45.28,54.61,31.95,54.32,29.89,보통,보통
2018-07-20 11,50.69,54.61,33.03,50.74,32.14,보통,보통
2018-07-20 12,57.6,54.48,33.5,49.5,38.3,보통,나쁨
2018-07-20 13,67.43,54.5,34.26,47.78,47.13,보통,나쁨
2018-07-20 14,79.3,54.38,34.75,45.78,57.41,보통,나쁨
2018-07-20 15,85.6,54.53,35.29,41.68,64.64,나쁨,나쁨
2018-07-20 16,81.59,54.35,35.3,40.9,63.58,나쁨,나쁨
2018-07-20 17,60.82,54.52,35.0,39.71,49.96,보통,나쁨
2018-07-20 18,49.97,54.7,34.4,39.59,37.28,보통,나쁨
2018-07-20 19,47.36,54.71,33.05,42.89,30.33,보통,보통
2018-07-20 20,39.52,54.56,31.76,48.87,24.15,보통,보통
2018-07-20 21,35.89,54.03,30.83,55.33,21.23,보통,보통
2018-07-20 22,33.42,53.74,30.1,57.82,19.13,보통,보통
2018-07-20 23,30.58,53.36,29.33,60.46,17.38,좋음,보통
2018-07-21 00,28.15,52.56,28.68,62.72,17.22,좋음,보통
2018-07-21 01,27.82,51.83,28.22,64.28,20.54,좋음,보통
2018-07-21 02,28.32,51.45,27.72,67.1,20.34,좋음,보통
2018-07-21 03,29.54,51.09,27.4,68.32,18.78,좋음,보통
2018-07-21 04,29.61,51.15,26.93,69.37,19.45,좋음,보통
2018-07-21 05,30.35,52.17,26.6,70.99,22.78,좋음,보통
2018-07-21 06,33.17,53.04,27.0,70.3,24.75,보통,보통
2018-07-21 07,37.94,53.46,28.61,65.21,27.64,보통,보통
2018-07-21 08,43.22,53.92,30.3,58.89,30.6,보통,보통
2018-07-21 09,46.26,54.16,32.17,50.63,31.93,보통,보통
2018-07-21 10,53.22,54.28,33.88,45.74,36.65,보통,나쁨
2018-07-21 11,55.06,54.43,35.21,38.06,38.9,보통,나쁨
2018-07-21 12,57.01,54.22,36.3,33.02,41.79,보통,나쁨
2018-07-21 13,56.91,54.51,37.21,30.62,39.9,보통,나쁨
2018-07-21 14,63.23,54.68,37.56,32.89,42.84,보통,나쁨
2018-07-21 15,62.51,55.21,37.68,31.04,43.74,보통,나쁨
2018-07-21 16,76.51,55.79,37.71,27.9,54.06,보통,나쁨
2018-07-21 17,76.75,55.29,36.61,34.69,56.2,보통,나쁨
2018-07-21 18,64.62,54.07,35.24,41.56,44.51,보통,나쁨
2018-07-21 19,52.7,54.13,33.33,47.82,30.86,보통,보통
2018-07-21 20,39.97,53.95,32.1,48.65,21.81,보통,보통
2018-07-21 21,32.08,53.48,31.38,49.27,20.49,보통,보통
2018-07-21 22,27.44,53.24,30.63,50.82,18.94,좋음,보통
2018-07-21 23,26.18,52.63,29.96,52.08,17.9,좋음,보통
2018-07-22 00,25.16,51.85,29.3,53.94,17.95,좋음,보통
2018-07-22 01,23.66,51.35,28.64,56.6,16.62,좋음,보통
2018-07-22 02,23.86,50.86,28.16,58.94,15.79,좋음,좋음
2018-07-22 03,25.44,50.47,27.88,61.26,17.96,좋음,보통
2018-07-22 04,27.72,50.48,27.61,64.37,19.99,좋음,보통
2018-07-22 05,28.7,51.15,27.39,66.43,19.34,좋음,보통
2018-07-22 06,29.77,51.87,27.84,66.08,19.14,좋음,보통
2018-07-22 07,31.32,52.35,29.35,61.63,20.58,보통,보통
2018-07-22 08,31.73,52.8,31.08,55.23,21.18,보통,보통
2018-07-22 09,35.64,53.32,32.73,50.35,22.62,보통,보통
2018-07-22 10,40.14,53.51,34.4,45.34,26.28,보통,보통
2018-07-22 11,42.39,53.42,36.06,38.96,29.05,보통,보통
2018-07-22 12,41.09,53.54,37.47,34.91,27.44,보통,보통
2018-07-22 13,43.93,53.51,38.45,32.63,27.68,보통,보통
2018-07-22 14,46.02,53.6,38.52,31.68,28.03,보통,보통
2018-07-22 15,46.11,53.53,38.94,30.44,26.55,보통,보통
2018-07-22 16,44.02,53.76,38.84,29.92,27.58,보통,보통
2018-07-22 17,42.19,53.63,37.92,32.1,27.5,보통,보통
2018-07-22 18,43.18,53.52,36.33,37.98,31.12,보통,보통
2018-07-22 19,42.54,53.45,35.09,43.65,32.95,보통,보통
2018-07-22 20,42.77,53.13,34.12,44.98,31.93,보통,보통
2018-07-22 21,35.1,52.88,33.45,46.53,23.98,보통,보통
2018-07-22 22,24.13,52.57,32.96,47.3,16.36,좋음,보통
2018-07-22 23,36.38,51.99,32.35,48.15,27.69,보통,보통
2018-07-23 00,36.9,51.31,31.93,47.43,28.13,보통,보통
2018-07-23 01,38.86,50.46,31.48,47.37,30.12,보통,보통
2018-07-23 02,37.14,49.94,31.42,45.15,29.36,보통,보통
2018-07-23 03,35.66,49.9,31.3,46.09,28.24,보통,보통
2018-07-23 04,40.39,50.6,31.15,48.2,31.38,보통,보통
2018-07-23 05,32.25,52.24,30.91,52.07,22.95,보통,보통
2018-07-23 06,24.52,53.51,30.84,54.35,15.5,좋음,좋음
2018-07-23 07,30.25,53.93,31.32,53.8,20.05,좋음,보통
2018-07-23 08,34.45,54.32,31.89,52.66,20.13,보통,보통
2018-07-23 09,40.65,54.47,32.46,51.78,20.67,보통,보통
2018-07-23 10,41.95,54.61,33.42,48.04,19.17,보통,보통
2018-07-23 11,45.74,54.54,34.61,44.43,22.06,보통,보통
2018-07-23 12,47.33,54.57,35.0,43.82,24.79,보통,보통
2018-07-23 13,49.19,54.49,35.1,44.07,27.58,보통,보통
2018-07-23 14,50.71,54.44,35.92,42.72,30.17,보통,보통
2018-07-23 15,54.16,54.38,36.09,42.53,33.15,보통,보통
2018-07-23 16,54.66,54.32,36.27,43.51,36.11,보통,나쁨
2018-07-23 17,51.53,54.39,35.37,48.5,34.51,보통,보통
2018-07-23 18,48.94,54.26,34.37,51.61,33.26,보통,보통
2018-07-23 19,44.28,54.05,32.98,55.49,29.99,보통,보통
2018-07-23 20,41.86,53.87,32.01,57.14,27.51,보통,보통
2018-07-23 21,37.04,53.61,31.91,55.0,24.5,보통,보통
2018-07-23 22,32.31,53.37,31.65,54.8,23.09,보통,보통
2018-07-23 23,29.33,52.78,31.37,54.36,19.53,좋음,보통
2018-07-24 00,30.16,51.88,30.93,56.82,20.51,좋음,보통
2018-07-24 01,29.86,51.22,30.4,59.44,21.56,좋음,보통
2018-07-24 02,30.15,50.48,29.95,61.3,21.67,좋음,보통
2018-07-24 03,30.72,50.27,29.64,62.64,21.61,좋음,보통
2018-07-24 04,31.44,50.82,29.36,63.64,23.98,보통,보통
2018-07-24 05,31.87,52.37,29.11,64.45,23.82,보통,보통
2018-07-24 06,33.52,53.55,29.59,64.01,25.22,보통,보통
2018-07-24 07,37.91,53.98,30.96,60.7,26.73,보통,보통
2018-07-24 08,38.71,54.43,32.29,58.85,27.24,보통,보통
2018-07-24 09,42.96,54.43,33.87,53.38,29.68,보통,보통
2018-07-24 10,47.95,54.41,35.28,46.3,32.43,보통,보통
2018-07-24 11,49.24,54.39,36.0,44.21,33.66,보통,보통
2018-07-24 12,50.65,54.39,36.67,42.22,34.84,보통,보통
2018-07-24 13,54.75,54.29,37.33,40.76,37.13,보통,나쁨
2018-07-24 14,63.61,54.3,36.93,44.49,41.97,보통,나쁨
2018-07-24 15,66.17,54.18,36.62,45.23,44.86,보통,나쁨
2018-07-24 16,80.14,54.28,36.49,45.86,60.21,보통,나쁨
2018-07-24 17,86.43,54.32,36.14,47.71,69.17,나쁨,나쁨
2018-07-24 18,82.58,54.44,35.02,49.29,65.8,나쁨,나쁨
2018-07-24 19,67.43,54.66,32.91,54.66,52.31,보통,나쁨
2018-07-24 20,59.36,54.15,31.79,58.08,45.63,보통,나쁨
2018-07-24 21,54.19,53.66,31.48,59.55,41.47,보통,나쁨
2018-07-24 22,50.93,53.58,31.1,61.11,39.27,보통,나쁨
2018-07-24 23,45.24,53.03,30.72,60.94,34.86,보통,보통
2018-07-25 00,39.63,52.04,30.29,60.81,29.88,보통,보통
2018-07-25 01,32.73,51.36,30.21,62.32,23.32,보통,보통
2018-07-25 02,30.56,50.79,30.32,63.34,20.16,좋음,보통
2018-07-25 03,33.82,50.44,29.91,66.58,22.42,보통,보통
2018-07-25 04,35.88,50.99,29.51,68.99,22.95,보통,보통
2018-07-25 05,39.52,52.4,29.35,70.09,24.53,보통,보통
2018-07-25 06,43.64,53.57,29.52,68.9,27.97,보통,보통
2018-07-25 07,43.62,54.16,29.8,66.62,29.8,보통,보통
2018-07-25 08,41.51,54.83,30.41,62.86,28.18,보통,보통
2018-07-25 09,39.89,54.56,31.26,59.5,26.85,보통,보통
2018-07-25 10,41.08,54.68,32.22,55.79,27.68,보통,보통
2018-07-25 11,40.78,54.49,32.33,55.69,28.55,보통,보통
2018-07-25 12,41.79,54.64,33.31,52.15,30.42,보통,보통
2018-07-25 13,44.77,54.58,33.87,50.65,31.35,보통,보통
2018-07-25 14,45.96,54.46,34.14,50.19,33.93,보통,보통
2018-07-25 15,48.86,54.42,34.76,49.96,35.47,보통,보통
2018-07-25 16,48.48,54.56,34.45,50.76,33.6,보통,보통
2018-07-25 17,45.67,54.33,33.95,52.2,31.94,보통,보통
2018-07-25 18,45.47,54.39,33.26,54.06,31.7,보통,보통
2018-07-25 19,44.48,54.29,32.71,56.26,31.14,보통,보통
2018-07-25 20,47.01,53.93,31.32,63.95,32.01,보통,보통
2018-07-25 21,47.31,53.81,30.35,68.15,31.67,보통,보통
2018-07-25 22,47.49,53.71,29.64,69.37,31.3,보통,보통
2018-07-25 23,47.76,53.25,29.26,70.12,29.65,보통,보통
2018-07-26 00,46.2,52.22,29.06,71.13,29.05,보통,보통
2018-07-26 01,44.26,51.69,29.02,71.39,28.81,보통,보통
2018-07-26 02,43.13,51.02,29.26,69.58,28.22,보통,보통
2018-07-26 03,41.75,50.59,29.23,68.75,27.27,보통,보통
2018-07-26 04,41.31,50.89,28.96,70.49,27.99,보통,보통
2018-07-26 05,43.15,52.39,28.8,71.84,28.66,보통,보통
2018-07-26 06,44.55,53.61,29.23,70.73,29.25,보통,보통
2018-07-26 07,46.57,54.2,29.63,68.92,30.26,보통,보통
2018-07-26 08,48.67,54.41,30.26,66.05,31.82,보통,보통
2018-07-26 09,51.16,54.47,30.79,64.17,34.85,보통,보통
2018-07-26 10,50.11,54.54,31.31,62.33,34.79,보통,보통
2018-07-26 11,49.02,54.72,32.2,58.64,32.54,보통,보통
2018-07-26 12,50.55,54.5,33.3,53.88,35.69,보통,보통
2018-07-26 13,54.9,54.51,34.42,49.61,38.2,보통,나쁨
2018-07-26 14,58.0,54.48,34.39,51.01,41.65,보통,나쁨
2018-07-26 15,57.47,54.58,34.09,53.74,43.9,보통,나쁨
2018-07-26 16,60.28,54.29,34.05,54.2,44.99,보통,나쁨
2018-07-26 17,65.76,54.25,33.93,54.49,46.44,보통,나쁨
2018-07-26 18,64.79,54.29,33.58,55.77,45.52,보통,나쁨
2018-07-26 19,60.27,54.11,32.67,58.69,42.32,보통,나쁨
2018-07-26 20,57.81,53.88,31.65,62.51,41.02,보통,나쁨
2018-07-26 21,58.11,53.76,30.88,69.21,39.46,보통,나쁨
2018-07-26 22,57.0,53.63,30.37,71.49,36.27,보통,나쁨
2018-07-26 23,56.84,53.27,30.04,72.37,34.56,보통,보통
2018-07-27 00,53.31,52.21,29.64,72.81,33.52,보통,보통
2018-07-27 01,48.22,51.59,29.38,72.47,31.04,보통,보통
2018-07-27 02,46.27,51.0,29.05,73.02,30.73,보통,보통
2018-07-27 03,44.75,50.69,28.59,76.38,32.03,보통,보통
2018-07-27 04,43.17,51.07,28.48,78.01,31.12,보통,보통
2018-07-27 05,47.39,52.68,28.53,77.24,33.0,보통,보통
2018-07-27 06,52.92,53.75,28.83,75.76,36.2,보통,나쁨
2018-07-27 07,52.57,54.21,30.09,71.58,36.59,보통,나쁨
2018-07-27 08,58.14,54.39,31.17,67.77,42.73,보통,나쁨
2018-07-27 09,63.52,54.54,31.84,64.72,43.44,보통,나쁨
2018-07-27 10,64.91,54.76,33.19,57.23,39.89,보통,나쁨
2018-07-27 11,66.67,54.81,34.31,53.06,42.74,보통,나쁨
2018-07-27 12,68.16,54.54,35.27,49.85,43.39,보통,나쁨
2018-07-27 13,69.4,54.42,35.75,49.38,47.43,보통,나쁨
2018-07-27 14,78.25,54.47,36.16,49.08,57.98,보통,나쁨
2018-07-27 15,90.47,54.34,36.15,49.82,67.1,나쁨,나쁨
2018-07-27 16,80.87,54.4,35.65,53.49,58.64,보통,나쁨
2018-07-27 17,70.13,54.23,35.0,56.04,49.29,보통,나쁨
2018-07-27 18,66.35,54.39,33.93,59.66,47.01,보통,나쁨
2018-07-27 19,59.13,54.22,32.56,63.49,40.98,보통,나쁨
2018-07-27 20,49.7,54.61,31.91,66.63,32.83,보통,보통
2018-07-27 21,45.94,53.81,31.3,69.37,30.28,보통,보통
2018-07-27 22,44.37,53.52,31.12,69.09,29.11,보통,보통
2018-07-27 23,43.39,53.16,30.97,70.71,29.0,보통,보통
2018-07-28 00,26.59,55.28,30.47,74.38,18.13,좋음,보통
2018-07-28 01,26.87,54.58,30.07,75.88,18.05,좋음,보통
2018-07-28 02,38.87,52.18,29.99,75.0,23.57,보통,보통
2018-07-28 03,43.2,50.91,29.71,75.74,26.9,보통,보통
2018-07-28 04,41.84,51.09,29.49,76.78,29.32,보통,보통
2018-07-28 05,43.68,52.29,29.36,77.66,29.83,보통,보통
2018-07-28 06,47.37,53.24,29.77,76.79,31.33,보통,보통
2018-07-28 07,50.34,53.49,30.81,73.59,35.34,보통,보통
2018-07-28 08,47.78,53.89,32.2,67.61,31.74,보통,보통
2018-07-28 09,33.29,54.2,33.47,60.35,19.12,보통,보통
2018-07-28 10,41.15,54.55,34.81,54.68,26.06,보통,보통
2018-07-28 11,61.15,54.34,35.6,52.06,43.49,보통,나쁨
2018-07-28 12,59.48,54.39,35.57,53.58,43.9,보통,나쁨
2018-07-28 13,61.83,54.7,35.99,53.07,44.44,보통,나쁨
2018-07-28 14,49.4,56.25,29.6,76.01,35.52,보통,보통
2018-07-28 15,43.75,54.8,29.49,78.94,31.82,보통,보통
2018-07-28 16,42.04,55.66,29.57,74.84,30.59,보통,보통
2018-07-28 17,34.56,56.17,30.19,74.61,24.62,보통,보통
2018-07-28 18,38.43,55.01,30.83,73.51,26.04,보통,보통
2018-07-28 19,39.78,54.27,30.75,74.53,26.41,보통,보통
2018-07-28 20,41.58,54.24,30.71,71.82,28.46,보통,보통
2018-07-28 21,42.4,53.55,30.92,68.24,30.64,보통,보통
2018-07-28 22,38.93,53.09,30.89,66.72,28.8,보통,보통
2018-07-28 23,34.16,52.63,30.63,65.43,23.96,보통,보통
2018-07-29 00,30.61,51.81,30.21,65.36,21.21,좋음,보통
2018-07-29 01,29.02,51.08,29.75,67.35,22.19,좋음,보통
2018-07-29 02,28.53,50.6,29.32,68.56,22.32,좋음,보통
2018-07-29 03,29.09,50.09,28.89,70.08,21.86,좋음,보통
2018-07-29 04,28.66,50.22,28.58,70.66,20.75,좋음,보통
2018-07-29 05,26.66,51.53,28.34,70.84,18.96,좋음,보통
2018-07-29 06,29.28,52.12,28.55,69.08,20.61,좋음,보통
2018-07-29 07,29.4,52.57,29.77,64.08,21.14,좋음,보통
2018-07-29 08,23.24,53.03,31.44,56.77,15.82,좋음,좋음
2018-07-29 09,17.46,53.61,33.07,49.78,11.93,좋음,좋음
2018-07-29 10,29.1,53.71,34.39,44.53,21.08,좋음,보통
2018-07-29 11,27.6,53.6,34.89,42.77,18.77,좋음,보통
2018-07-29 12,26.69,53.81,35.62,40.26,17.88,좋음,보통
2018-07-29 13,30.46,53.79,36.33,38.33,21.52,좋음,보통
2018-07-29 14,28.59,54.0,36.77,36.38,21.68,좋음,보통
2018-07-29 15,25.33,53.95,37.06,33.2,17.49,좋음,보통
2018-07-29 16,29.56,53.73,37.54,31.65,20.1,좋음,보통
2018-07-29 17,29.06,53.53,37.24,32.56,18.88,좋음,보통
2018-07-29 18,28.47,53.34,35.97,34.91,18.14,좋음,보통
2018-07-29 19,28.11,53.24,34.58,38.04,19.47,좋음,보통
2018-07-29 20,27.07,53.07,33.09,42.14,20.04,좋음,보통
2018-07-29 21,25.72,52.9,32.58,40.58,18.39,좋음,보통
2018-07-29 22,23.67,52.57,32.06,39.16,16.14,좋음,보통
2018-07-29 23,18.09,51.99,31.15,44.04,11.1,좋음,좋음
2018-07-30 00,16.0,51.27,30.42,48.3,10.51,좋음,좋음
2018-07-30 01,14.8,50.61,29.97,50.9,8.78,좋음,좋음
2018-07-30 02,14.38,50.07,29.46,52.96,7.1,좋음,좋음
2018-07-30 03,15.8,49.96,28.73,54.32,6.34,좋음,좋음
2018-07-30 04,14.64,50.68,28.39,55.58,8.02,좋음,좋음
2018-07-30 05,15.83,52.49,28.13,56.99,9.2,좋음,좋음
2018-07-30 06,17.89,53.72,28.34,57.4,10.34,좋음,좋음
2018-07-30 07,18.77,54.1,29.47,55.75,12.45,좋음,좋음
2018-07-30 08,19.42,54.22,30.81,53.14,11.43,좋음,좋음
2018-07-30 09,19.91,54.5,32.07,50.75,10.33,좋음,좋음
2018-07-30 10,17.87,54.46,33.6,47.27,10.21,좋음,좋음
2018-07-30 11,19.21,54.42,34.55,44.49,9.78,좋음,좋음
2018-07-30 12,20.68,54.41,35.33,42.1,9.81,좋음,좋음
2018-07-30 13,19.66,54.42,36.01,40.32,9.77,좋음,좋음
2018-07-30 14,17.37,54.27,36.53,38.74,11.67,좋음,좋음
2018-07-30 15,14.55,54.28,37.03,37.69,9.48,좋음,좋음
2018-07-30 16,15.82,54.15,37.32,37.21,7.21,좋음,좋음
2018-07-30 17,18.59,54.2,37.71,36.35,7.75,좋음,좋음
2018-07-30 18,20.77,54.02,37.08,37.98,12.7,좋음,좋음
2018-07-30 19,20.85,53.88,35.86,40.95,13.82,좋음,좋음
2018-07-30 20,19.83,53.73,35.12,43.14,12.54,좋음,좋음
2018-07-30 21,20.93,53.55,34.51,44.89,13.86,좋음,좋음
2018-07-30 22,18.4,53.42,33.73,46.91,11.96,좋음,좋음
2018-07-30 23,16.2,53.03,32.93,49.01,9.86,좋음,좋음
2018-07-31 00,15.09,51.95,32.2,51.36,7.93,좋음,좋음
2018-07-31 01,15.93,51.15,31.61,53.12,7.6,좋음,좋음
2018-07-31 02,18.47,50.59,31.21,53.59,9.39,좋음,좋음
2018-07-31 03,20.12,50.28,30.76,53.47,11.95,좋음,좋음
2018-07-31 04,22.92,50.72,30.28,54.08,13.1,좋음,좋음
2018-07-31 05,24.44,52.42,29.87,55.86,16.41,좋음,보통
2018-07-31 06,24.94,53.63,29.72,56.4,16.71,좋음,보통
2018-07-31 07,26.1,54.13,30.35,53.36,17.29,좋음,보통
2018-07-31 08,23.83,54.16,31.46,48.57,14.82,좋음,좋음
2018-07-31 09,23.56,54.49,32.75,45.01,13.56,좋음,좋음
2018-07-31 10,34.11,54.23,34.47,40.39,17.98,보통,보통
2018-07-31 11,33.99,54.16,35.65,38.65,14.92,보통,좋음
2018-07-31 12,34.67,54.2,36.48,37.99,14.74,보통,좋음
2018-07-31 13,34.46,54.12,37.03,36.24,16.61,보통,보통
2018-07-31 14,33.63,54.15,37.82,33.68,20.25,보통,보통
2018-07-31 15,34.41,54.1,38.14,33.08,21.8,보통,보통
2018-07-31 16,35.04,54.21,38.13,35.22,22.05,보통,보통
2018-07-31 17,35.28,54.15,37.74,36.86,20.52,보통,보통
2018-07-31 18,35.21,54.0,36.63,41.54,22.93,보통,보통
2018-07-31 19,34.0,53.9,35.3,45.49,24.17,보통,보통
2018-07-31 20,34.5,53.56,34.41,46.07,24.39,보통,보통
2018-07-31 21,34.8,53.41,33.56,52.49,23.36,보통,보통
2018-07-31 22,32.69,53.26,32.65,59.73,20.83,보통,보통
2018-07-31 23,35.26,52.71,32.33,58.24,19.55,보통,보통
2018-08-01 00,37.52,51.7,31.83,58.92,21.45,보통,보통
2018-08-01 01,33.51,51.18,31.29,59.66,22.45,보통,보통
2018-08-01 02,32.23,50.79,30.87,59.59,22.26,보통,보통
2018-08-01 03,28.53,50.35,30.46,60.78,20.05,좋음,보통
2018-08-01 04,28.37,50.78,30.26,62.19,20.72,좋음,보통
2018-08-01 05,31.29,52.45,29.9,64.04,22.12,보통,보통
2018-08-01 06,35.81,53.46,30.2,64.95,24.3,보통,보통
2018-08-01 07,38.64,53.92,31.47,61.08,26.56,보통,보통
2018-08-01 08,32.37,54.11,33.09,54.5,21.3,보통,보통
2018-08-01 09,29.15,54.36,34.93,47.14,18.51,좋음,보통
2018-08-01 10,44.25,54.24,36.64,41.93,29.3,보통,보통
2018-08-01 11,44.44,54.19,38.02,37.81,25.58,보통,보통
2018-08-01 12,48.14,54.12,38.82,36.06,24.91,보통,보통
2018-08-01 13,48.95,54.13,39.48,36.17,29.8,보통,보통
2018-08-01 14,52.06,54.06,39.85,36.77,36.82,보통,나쁨
2018-08-01 15,58.72,53.9,39.9,37.6,36.77,보통,나쁨
2018-08-01 16,66.15,53.9,39.8,38.43,36.4,보통,나쁨
2018-08-01 17,65.85,53.94,39.37,40.76,31.06,보통,보통
2018-08-01 18,56.36,53.78,37.72,47.96,27.7,보통,보통
2018-08-01 19,47.48,54.12,35.91,56.38,26.42,보통,보통
2018-08-01 20,49.25,53.53,34.7,60.47,27.07,보통,보통
2018-08-01 21,54.51,53.49,34.0,61.2,32.89,보통,보통
2018-08-01 22,55.66,53.17,33.78,61.43,35.28,보통,보통
2018-08-01 23,49.87,52.82,33.43,62.34,33.37,보통,보통
2018-08-02 00,49.39,51.76,33.32,62.26,32.86,보통,보통
2018-08-02 01,51.09,51.16,33.02,63.58,34.48,보통,보통
2018-08-02 02,40.98,50.49,32.73,64.63,27.47,보통,보통
2018-08-02 03,23.09,50.18,32.87,59.15,13.34,좋음,좋음
2018-08-02 04,17.28,50.59,32.93,52.24,10.09,좋음,좋음
2018-08-02 05,14.76,52.04,32.48,50.56,8.73,좋음,좋음
2018-08-02 06,27.32,53.39,32.5,48.39,16.54,좋음,보통
2018-08-02 07,48.96,53.82,32.99,47.67,30.11,보통,보통
2018-08-02 08,50.57,54.06,34.05,46.45,31.1,보통,보통
2018-08-02 09,46.98,54.24,35.13,44.71,29.06,보통,보통
2018-08-02 10,33.53,54.13,36.25,42.56,20.57,보통,보통
2018-08-02 11,32.1,54.09,37.11,40.81,19.02,보통,보통
2018-08-02 12,39.5,54.13,37.91,39.36,23.74,보통,보통
2018-08-02 13,33.23,54.09,37.83,40.22,21.22,보통,보통
