no,연도,월,일,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),안개 계속시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2)
1442,YA,3,23,E,7.9,0.0,618.0,15.6,1558.0,,0.0,6.2,270.0,1502.0,3.6,250.0,1446.0,1.2,1068.0,-2.6,17.0,1357.0,54.9,5.1,1011.8,1020.4,2358,1016.1,1.0,1018.4,12.2,11.3,1200.0,3.09,21.81,,,,,,0.6,0.4,9.8,-6.3,,,,,,,,,,3.5,5.0,,,
1443,YA,9,23,C,20.3,17.9,125.0,24.3,1434.0,0.0,0.0,9.9,340.0,1920.0,5.6,320.0,1544.0,3.1,2660.0,11.0,35.0,1229.0,56.0,13.1,1007.7,1017.7,2307,1014.0,1538.0,1015.8,12.1,9.3,1300.0,2.63,16.89,,,,,,4.8,3.3,20.7,12.2,20.9,20.9,21.5,21.7,21.9,22.2,22.1,20.2,16.2,4.5,6.5,,,
1444,YA,12,12,H,2.9,0.5,2200.0,7.2,1451.0,,0.0,11.8,360.0,2335.0,7.3,340.0,2331.0,3.6,3127.0,-8.5,27.0,1434.0,46.5,3.5,1017.1,1028.1,2217,1022.8,114.0,1025.8,9.8,9.2,1200.0,2.05,12.4,,,,,,0.0,0.0,2.9,-3.5,6.3,6.4,7.8,8.7,10.9,14.1,16.6,19.0,19.1,2.7,3.8,,,
1445,YA,9,10,A,20.1,17.5,347.0,23.9,1251.0,,0.0,6.3,110.0,1137.0,4.6,110.0,1139.0,2.6,2215.0,16.3,59.0,1531.0,79.4,18.5,1015.1,1020.8,1006,1017.7,13.0,1019.3,12.7,12.0,1200.0,3.18,23.82,,,,,,1.6,1.6,25.5,14.3,,,,,,,,,,3.7,5.3,,,
1446,YA,3,14,C,15.5,12.4,1.0,19.5,1424.0,,0.0,8.3,230.0,2213.0,5.3,200.0,1126.0,3.4,2913.0,9.5,49.0,1425.0,68.4,11.8,1010.3,1020.4,944,1016.8,2400.0,1018.5,11.9,8.0,1300.0,2.5,16.01,,,,,,6.5,5.8,14.0,10.8,9.8,9.4,8.3,7.0,6.1,4.9,5.0,8.2,12.8,3.0,4.2,,,
1447,YA,4,4,I,11.4,8.2,2349.0,15.8,1512.0,5.5,7.5,10.9,360.0,516.0,6.4,340.0,416.0,3.4,2911.0,4.8,45.0,1645.0,65.9,8.7,1012.6,1021.5,2136,1015.2,300.0,1018.4,12.7,7.9,,,,,,,,,,,14.1,6.2,,,,,,,,,,,,,,
1448,YB,4,11,E,10.5,5.9,552.0,15.1,1558.0,,0.0,4.7,140.0,1118.0,2.5,140.0,2005.0,1.1,954.0,3.4,36.0,1748.0,64.1,7.8,1008.6,1016.7,913,1013.4,1550.0,1015.1,12.9,,1000.0,2.29,,,,,,,8.0,4.5,13.4,0.5,,,,,,,,,,2.4,3.5,,3.9,16.04
1449,YB,2,6,A,3.5,-0.3,2354.0,8.0,1243.0,,0.0,12.5,340.0,2355.0,9.9,340.0,2356.0,4.2,3604.0,2.0,70.0,2355.0,90.5,7.2,1010.6,1017.8,2347,1011.9,701.0,1015.1,10.5,,1200.0,0.82,,,,,,,8.9,8.1,3.4,-0.8,,,,,,,,,,1.1,1.6,,0.0,3.41
1450,YC,7,8,F,26.9,24.9,541.0,29.5,1100.0,1.3,1.7,6.1,230.0,934.0,4.4,200.0,1737.0,2.0,1703.0,25.0,79.0,1113.0,90.0,31.7,998.4,1008.8,2240,1006.4,1717.0,1007.7,14.5,0.9,,,,,,,,,9.4,5.3,26.7,23.2,,,,,,,,,,,,,,
1451,YB,1,5,E,2.4,-3.8,2343.0,7.5,1321.0,,0.0,8.3,290.0,1501.0,5.4,270.0,1507.0,2.0,1733.0,-12.0,14.0,1416.0,38.3,2.7,1018.4,1027.1,956,1022.7,1507.0,1025.2,9.8,,1200.0,1.75,,,,,,,2.1,1.9,1.4,-12.3,,,,,,,,,,2.0,2.8,,8.0,9.87
1452,YB,1,24,G,2.8,-1.7,738.0,9.9,1448.0,,0.0,5.3,50.0,1114.0,3.1,50.0,1115.0,1.2,1033.0,-12.7,7.0,1611.0,36.5,2.5,1015.6,1026.5,1008,1023.0,1437.0,1024.7,10.3,,1200.0,2.32,,,,,,,0.0,0.0,1.6,-6.4,,,,,,,,,,2.3,3.3,,9.4,14.47
1453,YC,2,19,B,2.3,-3.4,647.0,5.7,1715.0,,1.0,8.9,200.0,1712.0,4.5,160.0,1219.0,1.9,1678.0,-3.5,32.0,1217.0,68.0,4.9,1004.8,1025.0,17,1006.5,2357.0,1015.5,11.0,1.2,1100.0,1.55,5.12,,,,,,7.0,3.1,0.3,-7.2,0.3,0.3,0.8,1.3,1.7,3.9,6.5,12.1,15.5,1.1,1.5,,,
1454,YA,5,20,B,17.0,11.5,551.0,22.6,1709.0,,0.0,8.7,50.0,1724.0,2.8,110.0,1610.0,1.4,1186.0,-0.2,22.0,1604.0,32.1,6.1,1009.2,1021.5,835,1017.2,1650.0,1019.3,14.3,4.2,1600.0,1.89,14.42,,,,,,4.6,0.8,16.9,8.0,17.4,18.2,18.7,18.7,18.9,17.4,16.1,13.4,13.0,3.9,5.5,,,
1455,YC,11,29,C,2.2,-2.4,2349.0,8.5,50.0,,0.0,12.7,20.0,402.0,7.4,360.0,405.0,4.9,4250.0,-7.2,27.0,1538.0,52.3,4.0,1017.8,1028.2,1106,1021.3,106.0,1026.4,9.8,9.0,1200.0,1.15,6.66,,,,,,5.5,2.8,4.2,-3.5,6.0,6.1,6.7,7.2,7.7,10.3,12.3,17.1,17.3,2.1,3.0,0.47,,
1456,YA,4,8,A,3.6,2.0,2344.0,5.6,1706.0,0.0,0.0,14.9,90.0,1450.0,10.1,90.0,1403.0,5.4,4702.0,-0.8,47.0,233.0,73.8,5.8,995.9,1017.5,29,1009.9,1643.0,1013.9,12.9,0.7,,,,,,,,,7.0,5.8,3.2,-1.3,,,,,,,,,,,,,,
1457,YB,8,27,I,24.5,21.3,539.0,27.9,1248.0,0.2,0.5,4.5,200.0,1253.0,3.2,250.0,1258.0,1.4,1213.0,20.2,59.0,1244.0,77.9,23.7,1002.4,1011.4,1,1006.0,1650.0,1007.8,13.2,,,,,,,,,,7.8,,29.5,20.4,,,,,,,,,,,,,4.9,
1458,YB,3,18,C,6.5,2.3,654.0,10.4,1449.0,,0.0,7.2,230.0,1306.0,4.4,230.0,1312.0,2.2,1920.0,-3.3,24.0,1402.0,53.6,4.9,1011.4,1024.1,1,1016.7,2354.0,1019.9,12.0,,1100.0,2.29,,,,,,,6.6,0.0,7.0,-3.4,6.7,6.6,6.8,6.7,6.7,6.4,6.8,9.0,12.8,2.5,3.6,,8.0,15.43
1459,YA,12,18,E,3.6,-1.1,816.0,8.7,1521.0,,0.0,7.8,290.0,1630.0,5.0,270.0,1638.0,1.8,1521.0,-4.8,31.0,1514.0,55.8,4.3,1014.6,1022.4,2227,1019.6,1350.0,1021.2,9.7,7.2,1200.0,1.74,9.1,,,,,,2.3,2.0,1.9,-5.9,,,,,,,,,,1.4,2.0,,,
1460,YA,12,18,G,4.7,0.4,655.0,10.0,1355.0,,0.0,8.7,270.0,1356.0,4.1,250.0,1225.0,1.1,955.0,-2.7,37.0,1614.0,59.6,5.0,1013.5,1023.6,1020,1021.2,1509.0,1022.5,9.8,8.2,1200.0,2.0,11.39,,,,,,2.5,2.5,2.0,-3.2,,,,,,,,,,1.6,2.2,,,
1461,YC,12,11,G,0.0,-2.2,2350.0,4.2,1.0,,0.0,10.1,290.0,1404.0,4.2,340.0,1244.0,2.0,1762.0,-5.6,47.0,1143.0,66.8,4.1,1014.8,1027.0,2113,1019.8,1.0,1024.0,9.9,3.3,1300.0,1.13,7.32,,,,,,5.9,5.9,-0.6,-6.1,,,,,,,,,,1.0,1.4,,,
1462,YB,1,26,E,-0.3,-3.5,732.0,4.6,1517.0,,0.0,8.8,290.0,1732.0,5.5,290.0,912.0,3.4,2898.0,-18.3,15.0,1525.0,25.1,1.5,1019.3,1029.0,2357,1023.8,1.0,1026.1,10.3,,1200.0,2.19,,,,,,,0.0,0.0,0.1,-11.4,,,,,,,,,,2.3,3.3,,9.4,13.4
1463,YB,5,20,I,15.5,11.0,2133.0,19.4,1444.0,2.5,5.0,10.5,320.0,1344.0,6.9,250.0,1221.0,3.5,3039.0,8.5,35.0,1503.0,66.1,11.4,999.7,1007.7,2339,1003.0,357.0,1005.3,14.3,,,,,,,,,,10.0,,18.1,7.6,,,,,,,,,,,,,9.4,
1464,YC,7,8,E,26.8,25.0,536.0,29.7,1630.0,3.5,6.5,6.5,270.0,956.0,3.4,270.0,1005.0,1.0,823.0,23.9,69.0,1633.0,84.6,29.6,1001.7,1009.5,1007,1006.5,1754.0,1007.8,14.5,0.5,1400.0,1.56,8.85,,,,,,9.3,6.0,30.1,23.5,,,,,,,,,,1.9,2.7,,,
1465,YA,10,17,F,14.9,11.5,2352.0,20.6,1407.0,,0.0,5.0,340.0,924.0,3.2,340.0,2045.0,1.7,1451.0,11.7,47.0,1358.0,83.1,13.8,1005.1,1016.1,735,1013.2,1427.0,1014.9,11.3,7.5,,,,,,,,,1.6,1.4,16.3,5.7,,,,,,,,,,,,,,
1466,YB,10,20,I,14.1,9.4,649.0,21.3,1241.0,,0.0,4.8,230.0,1357.0,3.5,230.0,1409.0,1.2,994.0,10.4,52.0,1346.0,80.8,12.7,1016.4,1024.3,908,1020.7,1659.0,1022.1,11.1,,,,,,,,,,2.0,0.5,16.9,2.4,,,,,,,,,,,,,9.7,
1467,YB,4,9,A,7.1,5.4,1936.0,9.7,1047.0,3.1,14.7,9.8,90.0,1649.0,6.3,70.0,1253.0,3.3,2862.0,1.2,33.0,301.0,70.1,6.9,1010.6,1018.5,3,1011.7,2348.0,1015.0,12.9,,900.0,0.44,,,,,,,9.8,6.8,7.3,4.5,,,,,,,,,,0.9,1.2,,0.0,3.04
1468,YB,10,6,G,19.2,15.5,130.0,23.9,1420.0,,0.0,4.9,160.0,1859.0,3.1,200.0,1743.0,0.9,798.0,14.5,56.0,1540.0,75.9,16.6,1013.0,1023.1,904,1019.8,153.0,1021.5,11.7,,1100.0,2.61,,,,,,,8.3,5.8,21.7,14.4,,,,,,,,,,2.1,3.0,,4.8,13.28
1469,YB,2,26,F,8.8,4.6,307.0,14.5,1423.0,,0.0,6.6,340.0,910.0,4.1,340.0,916.0,2.2,1893.0,1.8,21.0,1424.0,63.3,7.1,1012.5,1024.5,2330,1021.0,1555.0,1022.7,11.3,,,,,,,,,,3.9,2.3,7.6,-2.5,,,,,,,,,,,,,9.3,
1470,YB,10,31,F,15.7,8.7,55.0,22.8,1508.0,,0.0,5.0,340.0,1141.0,3.3,320.0,1149.0,1.9,1617.0,5.6,25.0,1518.0,53.9,9.2,1009.9,1021.7,813,1017.8,1403.0,1019.7,10.8,,,,,,,,,,0.0,0.0,13.1,1.5,,,,,,,,,,,,,9.7,
1471,YA,1,23,I,-12.3,-14.8,2357.0,-6.7,1.0,,0.0,10.2,340.0,747.0,5.3,340.0,455.0,2.7,2350.0,-23.0,28.0,1214.0,40.9,1.0,1019.1,1029.1,2320,1018.3,1.0,1025.4,10.0,8.8,,,,,,,,,,,-0.4,-16.6,,,,,,,,,,,,,,
1472,YC,11,19,I,-2.0,-8.5,614.0,3.6,1417.0,,0.0,8.4,340.0,1309.0,4.8,250.0,1427.0,1.6,1374.0,-12.9,23.0,1058.0,45.8,2.3,1021.7,1029.5,914,1026.0,1412.0,1027.7,10.1,7.7,,,,,,,,,,,0.9,-14.8,,,,,,,,,,,,,,
1473,YB,2,16,I,-2.6,-6.5,2353.0,0.9,1537.0,,0.0,6.9,320.0,1338.0,4.2,250.0,1428.0,2.1,1775.0,-9.8,38.0,2107.0,58.4,3.0,1019.0,1026.4,2309,1023.2,1.0,1025.2,10.8,,,,,,,,,,2.4,1.4,-0.5,-10.2,,,,,,,,,,,,,9.5,
1474,YB,1,18,D,0.8,-4.8,630.0,8.0,1532.0,,0.0,3.8,200.0,1242.0,2.1,200.0,1526.0,0.8,648.0,-4.2,44.0,1534.0,70.8,4.5,1019.4,1030.5,936,1026.4,1412.0,1028.1,10.0,,1200.0,1.96,,,,,,,3.3,2.1,-0.4,-9.9,0.0,0.1,1.3,1.9,3.2,5.9,8.5,14.3,17.8,1.2,1.8,,7.8,11.13
1475,YA,5,27,C,18.1,15.0,535.0,21.8,1511.0,,0.0,7.1,250.0,101.0,4.6,250.0,106.0,2.1,1819.0,8.7,39.0,1218.0,55.4,11.2,1002.3,1011.7,536,1009.3,1927.0,1010.4,14.5,2.8,1200.0,2.19,16.31,,,,,,6.8,2.6,19.3,11.3,18.8,18.9,,18.2,17.5,15.5,13.9,11.6,11.5,3.4,4.9,,,
1476,YB,9,16,G,24.6,21.6,445.0,29.5,1516.0,,0.0,6.0,20.0,1804.0,3.3,20.0,1807.0,1.2,1031.0,20.0,51.0,1457.0,77.6,23.5,1001.7,1011.8,2356,1008.0,1511.0,1009.9,12.4,,1200.0,2.84,,,,,,,4.9,4.1,27.6,19.4,,,,,,,,,,3.2,4.6,,5.4,15.82
1477,YA,5,4,H,14.8,10.2,528.0,18.5,1248.0,,0.0,17.1,250.0,1440.0,12.5,230.0,1602.0,6.7,5769.0,3.7,30.0,1128.0,48.1,8.0,1005.8,1017.2,2357,1011.9,244.0,1014.1,13.7,12.5,1200.0,3.39,27.4,,,,,,0.3,0.0,18.4,6.6,16.5,16.3,16.5,16.5,17.0,15.7,14.7,14.0,15.2,7.1,10.2,,,
1478,YA,10,15,B,15.2,10.9,346.0,21.0,1530.0,,0.0,5.9,320.0,1618.0,3.5,270.0,1619.0,1.4,1189.0,9.3,40.0,1525.0,69.9,11.8,1009.9,1022.4,222,1017.7,1502.0,1020.1,11.3,6.8,1100.0,2.11,11.26,,,,,,4.0,3.1,15.7,6.2,15.6,16.0,16.1,16.4,17.3,19.4,20.9,20.8,18.3,2.2,3.1,,,
1479,YA,9,19,C,21.3,18.9,2158.0,24.1,1227.0,0.1,0.2,6.6,180.0,2227.0,4.5,180.0,2230.0,2.0,1730.0,15.4,58.0,1210.0,69.5,17.5,1006.0,1016.0,149,1012.3,1646.0,1013.9,12.3,0.6,1200.0,1.58,8.5,,,,,,9.3,6.6,21.9,16.3,22.4,22.4,22.8,22.9,22.9,22.9,22.5,20.3,16.0,2.2,3.1,,,
1480,YC,5,23,E,21.8,14.1,518.0,28.1,1410.0,,0.0,7.7,290.0,1416.0,4.0,290.0,1424.0,1.7,1494.0,13.0,34.0,1411.0,61.1,15.1,1004.3,1013.7,1,1007.9,1750.0,1010.4,14.3,5.2,1100.0,2.85,18.29,,,,,,6.9,1.9,27.1,11.7,,,,,,,,,,3.8,5.4,,,
1481,YC,3,10,D,5.9,-1.5,657.0,13.4,1526.0,,0.0,8.1,320.0,1455.0,3.8,340.0,1554.0,1.6,1340.0,-6.1,16.0,1554.0,46.8,4.0,1011.3,1022.4,2358,1016.1,1.0,1019.8,11.7,11.0,1200.0,3.13,21.84,,,,,,0.1,0.0,7.8,-7.6,6.5,6.1,6.1,6.1,6.7,7.4,8.2,11.7,15.7,3.2,4.6,,,
1482,YC,3,6,C,0.4,-1.8,703.0,3.0,1.0,,0.0,15.5,320.0,1503.0,10.4,340.0,1331.0,6.2,5377.0,-9.7,27.0,1359.0,48.5,3.0,1008.3,1018.7,945,1015.0,23.0,1017.3,11.6,11.0,1200.0,2.36,16.33,,,,,,0.9,0.5,2.1,-3.7,4.1,4.1,4.5,4.6,4.7,4.9,5.7,9.4,13.8,2.8,4.0,,,
1483,YC,7,20,B,29.9,26.0,437.0,34.9,1456.0,,0.0,7.4,270.0,1606.0,4.8,290.0,1628.0,2.2,1910.0,22.6,46.0,1551.0,66.1,27.4,996.6,1008.0,727,1004.4,1504.0,1006.2,14.4,10.3,1300.0,2.89,20.59,,,,,,2.4,1.4,33.2,24.1,30.5,29.6,27.9,27.7,27.1,25.0,23.6,18.8,15.3,4.8,6.8,,,
1484,YA,7,2,F,25.8,23.6,419.0,28.5,1151.0,1.6,3.8,9.1,200.0,645.0,5.0,180.0,654.0,2.2,1859.0,23.9,77.0,1406.0,89.9,29.7,999.4,1010.3,1,1007.8,2004.0,1008.8,14.5,3.0,,,,,,,,,9.8,6.6,27.0,22.9,,,,,,,,,,,,,,
1485,YA,8,15,A,27.6,23.0,442.0,32.8,1252.0,,0.0,6.3,50.0,2052.0,4.5,320.0,1410.0,2.0,1767.0,22.8,47.0,1308.0,76.4,27.8,1002.2,1008.4,1,1004.4,1624.0,1006.2,13.7,5.5,1300.0,3.04,19.54,,,,,,8.1,4.5,36.2,22.6,,,,,,,,,,4.2,6.0,,,
1486,YC,1,9,G,5.1,1.6,2357.0,8.7,1445.0,,0.0,8.6,290.0,1051.0,4.1,20.0,1457.0,1.9,1608.0,-1.2,40.0,1455.0,65.6,5.7,1009.6,1021.7,2348,1014.4,10.0,1018.6,10.0,5.6,1300.0,1.85,8.29,,,,,,4.6,4.0,4.5,-4.4,,,,,,,,,,1.3,1.9,,,
1487,YC,8,10,A,25.8,22.8,2340.0,30.2,1310.0,,0.0,5.7,110.0,2357.0,4.3,110.0,2059.0,1.9,1608.0,22.3,65.0,1651.0,82.0,26.9,984.3,1003.1,2337,998.3,306.0,1000.5,13.8,11.3,,,,,,,,,3.0,0.6,32.9,21.7,,,,,,,,,,,,,,
1488,YB,10,7,G,16.6,15.9,655.0,18.3,22.0,2.5,6.9,6.5,50.0,831.0,3.5,50.0,854.0,1.1,922.0,15.4,72.0,154.0,93.1,17.5,1009.2,1021.5,1,1015.4,1525.0,1017.7,11.6,,1000.0,0.41,,,,,,,9.5,5.8,18.4,14.7,,,,,,,,,,0.6,0.8,,0.0,2.76
1489,YC,4,28,G,15.8,8.0,555.0,24.5,1441.0,,0.0,12.5,270.0,1509.0,6.7,270.0,1649.0,2.4,2039.0,4.5,15.0,1521.0,52.3,8.6,1000.3,1013.3,1,1005.3,1641.0,1008.8,13.5,12.2,1200.0,3.45,27.48,,,,,,0.0,0.0,20.2,2.3,,,,,,,,,,5.7,8.1,,,
1490,YC,9,27,I,21.1,19.1,2355.0,26.9,1332.0,0.2,0.5,8.9,340.0,1820.0,4.9,360.0,1743.0,1.8,1520.0,16.5,50.0,1333.0,76.0,18.9,1002.6,1010.1,5,1005.2,1506.0,1008.0,12.0,1.3,,,,,,,,,,,22.5,16.0,,,,,,,,,,,,,,
1491,YB,5,9,A,14.3,10.7,2221.0,19.4,1453.0,,0.0,14.8,250.0,15.0,9.5,250.0,24.0,4.1,3538.0,6.1,32.0,1.0,61.6,9.7,1004.9,1010.9,2355,1008.1,150.0,1009.2,14.0,,1200.0,3.46,,,,,,,4.4,0.4,24.5,7.1,,,,,,,,,,4.0,5.7,,12.0,27.31
1492,YC,9,23,G,21.9,17.5,549.0,27.3,1600.0,,0.0,3.3,250.0,1146.0,1.7,230.0,757.0,0.7,566.0,19.1,63.0,1507.0,85.8,22.2,1007.8,1018.0,1002,1014.8,1532.0,1016.2,12.1,4.6,1400.0,1.96,14.5,,,,,,5.1,2.6,25.6,13.6,,,,,,,,,,2.2,3.2,,,
1493,YC,5,20,E,25.3,20.0,407.0,31.7,1541.0,,0.0,7.5,290.0,320.0,4.5,290.0,131.0,2.7,2333.0,6.2,20.0,1501.0,30.6,9.6,1008.0,1016.2,824,1011.2,1719.0,1014.1,14.2,12.1,1200.0,3.0,25.16,,,,,,5.1,0.0,31.5,15.0,,,,,,,,,,6.3,9.0,,,
1494,YA,6,10,E,18.7,15.8,2349.0,22.4,1425.0,0.2,0.5,10.7,90.0,1447.0,6.6,110.0,1551.0,4.4,3766.0,13.2,55.0,1426.0,71.5,15.2,999.7,1009.4,2,1004.0,1758.0,1005.9,14.5,2.0,1200.0,2.24,14.3,,,,,,9.9,7.3,24.2,15.8,,,,,,,,,,2.9,4.1,,,
1495,YB,3,7,F,7.5,4.9,2340.0,11.7,1604.0,,0.3,10.2,340.0,1109.0,6.1,340.0,1114.0,2.6,2257.0,2.6,45.0,1614.0,73.1,7.4,1007.9,1023.2,2331,1012.9,1.0,1018.1,11.6,,,,,,,,,,6.0,4.8,7.8,-0.1,,,,,,,,,,,,,6.5,
1496,YB,5,12,F,17.2,12.9,432.0,23.7,1103.0,,0.0,7.5,70.0,1302.0,4.3,90.0,1221.0,1.9,1632.0,10.5,37.0,1059.0,66.3,12.8,1007.2,1019.3,2229,1015.1,122.0,1017.0,14.0,,,,,,,,,,3.5,0.0,20.1,7.3,,,,,,,,,,,,,11.0,
1497,YA,2,1,C,-3.7,-7.9,725.0,0.2,1452.0,,0.0,7.0,340.0,1532.0,4.7,340.0,1900.0,3.1,2673.0,-13.3,28.0,1404.0,48.3,2.2,1020.6,1030.8,2121,1028.0,1555.0,1029.4,10.3,9.8,1200.0,1.31,8.17,,,,,,0.0,0.0,-2.8,-12.5,-1.3,-1.2,-0.6,0.1,0.7,2.9,5.5,10.7,14.9,1.3,1.9,,,
1498,YA,4,15,G,10.1,6.5,2334.0,16.4,1334.0,,0.0,8.5,320.0,1542.0,3.6,290.0,1417.0,1.6,1359.0,3.7,37.0,1453.0,67.8,8.0,1006.1,1019.1,2334,1011.5,7.0,1014.9,13.1,10.4,1200.0,3.22,24.55,,,,,,2.1,1.6,12.8,2.0,,,,,,,,,,3.4,4.9,,,
1499,YB,9,22,A,19.5,16.0,320.0,23.2,1613.0,,0.0,10.3,70.0,1213.0,7.2,70.0,1422.0,3.3,2866.0,14.3,54.0,1417.0,73.0,16.3,1009.7,1018.0,1,1011.5,1722.0,1013.9,12.2,,1300.0,1.95,,,,,,,5.8,0.9,19.3,10.8,,,,,,,,,,3.2,4.5,,4.2,12.4
1500,YB,4,15,F,12.0,6.2,554.0,19.2,1305.0,,0.0,6.9,20.0,1137.0,4.1,20.0,1145.0,1.9,1635.0,-0.4,18.0,1222.0,44.9,6.1,1007.9,1019.4,2321,1015.9,9.0,1017.9,13.1,,,,,,,,,,0.0,0.0,12.2,0.0,,,,,,,,,,,,,12.1,
1501,YB,1,1,A,-1.9,-3.0,810.0,-0.8,2141.0,,0.0,15.3,340.0,1705.0,9.6,340.0,1709.0,7.2,6192.0,-8.6,50.0,1904.0,60.3,3.2,1028.6,1035.1,104,1031.6,1424.0,1033.3,9.6,,1400.0,1.42,,,,,,,5.9,5.8,-1.6,-4.0,,,,,,,,,,1.5,2.2,,3.3,7.01
1502,YB,5,23,I,17.5,11.1,534.0,25.4,1328.0,,0.0,5.9,250.0,1144.0,4.6,250.0,1149.0,2.0,1686.0,11.4,43.0,1609.0,69.0,13.6,1003.3,1010.7,2322,1006.6,1.0,1008.9,14.4,,,,,,,,,,0.6,0.1,23.5,6.7,,,,,,,,,,,,,12.4,
1503,YB,1,2,E,-0.5,-4.2,623.0,4.2,1434.0,,0.0,8.3,290.0,1309.0,5.5,290.0,1336.0,2.7,2368.0,-13.3,19.0,1516.0,39.3,2.2,1026.1,1035.1,914,1030.7,1402.0,1032.9,9.8,,1200.0,1.92,,,,,,,0.5,0.0,-0.7,-8.5,,,,,,,,,,2.0,2.8,,8.9,11.2
1504,YB,8,19,B,26.3,21.2,552.0,31.3,1532.0,,0.0,5.1,320.0,1655.0,2.7,340.0,1918.0,1.1,909.0,17.5,35.0,1631.0,60.6,20.0,999.7,1010.4,907,1008.1,1608.0,1009.5,13.5,,1300.0,2.56,,,,,,,4.6,1.8,27.2,17.6,26.9,26.9,26.5,26.6,26.6,25.6,24.2,19.2,15.4,3.8,5.4,,11.1,18.16
1505,YA,8,13,H,30.9,27.3,509.0,34.9,1605.0,,0.0,9.1,270.0,1140.0,5.7,200.0,1421.0,2.6,2252.0,23.6,48.0,1618.0,66.6,29.3,1002.9,1011.6,803,1009.3,1742.0,1010.6,13.6,12.3,,,,,,,,,3.9,0.4,38.9,25.2,33.1,32.5,31.3,30.3,29.9,27.7,24.8,19.0,17.1,,,,,
1506,YB,4,7,B,12.6,5.6,650.0,20.3,1505.0,,0.0,8.4,270.0,1916.0,4.8,290.0,1923.0,1.7,1491.0,-2.1,12.0,1536.0,43.1,5.6,1000.2,1012.9,814,1007.3,1549.0,1010.4,12.8,,1200.0,2.99,,,,,,,4.4,1.4,15.1,-1.3,12.4,11.2,10.1,9.4,9.2,8.9,9.1,10.6,13.3,4.8,6.9,,11.4,21.77
1507,YA,4,11,A,9.7,5.1,207.0,14.7,1540.0,,0.0,15.7,250.0,2354.0,11.5,250.0,2359.0,6.1,5279.0,-0.1,19.0,1846.0,54.6,6.3,994.1,1013.6,1208,1005.3,12.0,1011.7,13.0,12.1,,,,,,,,,0.9,0.3,13.0,3.6,,,,,,,,,,,,,,
1508,YC,12,17,E,-3.2,-6.9,739.0,1.1,1540.0,,0.0,10.8,290.0,233.0,6.5,290.0,235.0,3.8,3316.0,-16.7,21.0,1231.0,35.5,1.7,1022.8,1031.6,1029,1023.7,19.0,1029.7,9.7,9.2,1200.0,1.88,11.05,,,,,,0.0,0.0,-1.8,-9.8,,,,,,,,,,1.7,2.5,,,
1509,YA,2,25,I,-0.5,-6.1,709.0,6.1,1439.0,,0.0,7.0,250.0,1712.0,4.7,250.0,1620.0,2.1,1799.0,-8.7,19.0,1411.0,55.5,3.2,1020.0,1028.6,3,1024.0,1546.0,1026.0,11.2,9.8,,,,,,,,,,,1.6,-11.9,,,,,,,,,,,,,,
1510,YC,3,10,H,8.6,3.3,652.0,15.4,1454.0,,0.0,12.6,290.0,6.0,8.0,270.0,43.0,3.5,3029.0,-6.0,17.0,1430.0,36.0,4.0,1009.5,1020.8,2400,1013.3,1.0,1018.0,11.8,,1200.0,2.88,20.17,,,,,,0.0,0.0,12.9,-0.1,10.3,9.8,9.5,9.2,8.6,9.8,11.2,14.3,16.6,4.3,6.1,,,
1511,YC,6,7,A,14.9,12.8,747.0,17.1,1338.0,0.7,1.8,13.9,290.0,1901.0,9.4,290.0,1916.0,5.5,4775.0,13.8,88.0,1353.0,93.9,15.8,989.0,1009.0,2253,1003.7,341.0,1006.0,14.7,6.5,,,,,,,,,7.8,7.6,19.2,14.4,,,,,,,,,,,,13.67,,
1512,YC,5,3,F,16.4,8.7,547.0,23.8,1404.0,,0.0,6.0,180.0,1500.0,3.8,180.0,1508.0,1.5,1301.0,9.6,25.0,1143.0,67.4,12.4,1012.1,1024.0,1,1020.0,1551.0,1021.8,13.7,12.5,,,,,,,,,2.4,0.0,20.3,5.7,,,,,,,,,,,,,,
